,property,beds,showers,garages,area,description,currency,price,rent_period,url,address,time_posted
0,5 bedroom house for rent at Dzorwulu,5,4,0,0,A luxurious 5 bedroom house in a quiet and serene environmen...,$,"7,500",/,https://meqasa.com/house-for-rent-at-Dzorwulu-105174?y=866419323, Dzorwulu,
1,4 bedroom furnished house for rent at Cantonments,4,4,0,0,A contemporary 4-Bedroom Townhouse located in the beautiful ...,$,"4,000",/,https://meqasa.com/house-for-rent-at-Cantonments-101461?y=866419323, Cantonments,
2,4 bedroom townhouse for rent at Cantonments,4,4,0,0,A Beautiful and Newly Built 4 Semi-Detached Townhouse in a g...,$,"3,500",/,https://meqasa.com/townhouse-for-rent-at-Cantonments-074711?y=866419323, Cantonments,
3,4 bedroom furnished house for rent at Airport Hills,4,5,1,0,"This fully furnished contemporary house, which is in one of ...",GH₵,"46,750",/,https://meqasa.com/house-for-rent-at-Airport-Hills-105076?y=866419323, Airport Hills,
4,3 bedroom house for rent at West Legon,3,4,4,80 m2,Executive Three Bedroom House With  Only Two On Compound For...,$,650,/,https://meqasa.com/house-for-rent-at-West-Legon-105305?y=866419323, West Legon,
5,3 bedroom house for rent at Adjiringanor,3,3,0,0,"3 bedroom house en-suite with a guest toilet, a study and 1 ...",$,"1,200",/,https://meqasa.com/house-for-rent-at-Adjiringanor-106821?y=866419323, Adjiringanor,
6,3 bedroom furnished house for rent at Mamprobi,3,3,0,0,A 3 bed-room furnished property in located at Mamprobi; 20 m...,$,500,/,https://meqasa.com/house-for-rent-at-Mamprobi-099948?y=866419323, Mamprobi,
7,Warehouse for rent at Spintex coca cola roundabout ,2,,15,"3,000 m2",3000 square meters warehouse with offices for rent in spinte...,$,4/m2,/,https://meqasa.com/warehouse-for-rent-at-Spintex-coca-cola-roundabout--095224?y=866419323, Spintex coca cola roundabout ,
8,"1 bedroom furnished house for rent at AIRPORT HILLS, ACCRA",1,1,0,0,"The price is ($250) negotiable  a night, including a car(Hon...",$,250,/,"https://meqasa.com/house-for-rent-at-AIRPORT-HILLS,-ACCRA,-GHANA-107411?y=866419323"," AIRPORT HILLS, ACCRA",
9,"4 bedroom house for rent at Dovehill Estate, Spintex Road",4,5,1,0,Four (4) bedroom house with a single room outer house with t...,$,"1,800",/,"https://meqasa.com/house-for-rent-at-Dovehill-Estate,-Spintex-Road-101793?y=866419323", Dovehill Est,
10,"4 bedroom house for rent at Airport Hills, Accra",4,5,0,300 m2,"Price is GH¢10,206 ($1890) per month­, inclusive of servi­ce...",$,"1,890",/,"https://meqasa.com/house-for-rent-at-Airport-Hills,-Accra,-Ghana-004126?y=866419323"," Airport Hills, Accra",
11,4 bedroom townhouse for rent at Airport City,4,4,0,0,Located in a private community in the Airport Residential Ar...,GH₵,"30,250",/,https://meqasa.com/townhouse-for-rent-at-Airport-City-106520?y=866419323, Airport City,
12,4 bedroom house for rent at Madina,4,2,0,0,Magnificent 4 bedroom self compound house for rent at Madina...,GH₵,"2,000",/,https://meqasa.com/house-for-rent-at-Madina-101181?y=866419323, Madina,
13,6 bedroom house for rent at Pokuase,6,3,1,0,Lovely property could be a family home or used as offices...,GH₵,"2,000",/,https://meqasa.com/house-for-rent-at-Pokuase-086724?y=866419323, Pokuase,
14,3 bedroom house for rent at East Legon,3,2,0,190 m2,The property will be vacant from 15/12/19....,$,"3,000",/,https://meqasa.com/house-for-rent-at-East-Legon-102986?y=866419323, East Legon,
15,4 bedroom house for rent at East Legon,4,5,0,0,"Newly built 4 bedroom House for Rent at East Legon, Adjiring...",$,"1,300",/,https://meqasa.com/house-for-rent-at-East-Legon-101189?y=866419323, East Legon,
16,5 bedroom house for rent at East Legon,5,6,2,250 m2,"MAGNIFICENT 5BEDRM EDIFICE WITH A BOYS QUARTERS NOW 4RENT 
L...",$,"1,800",/,https://meqasa.com/house-for-rent-at-East-Legon-105426?y=866419323, East Legon,
17,6 bedroom house for rent at Community 25,6,7,2,0,"A 6 bedroom self compound house for rent at community 25 , o...",GH₵,"2,000",/,https://meqasa.com/house-for-rent-at-Community-25-094426?y=866419323, Community 25,
18,4 bedroom house for rent at Airport Residential Area,4,5,0,0,Beautiful 4 bedroom Modern house in Airpoort residential are...,$,"5,500",/,https://meqasa.com/house-for-rent-at-Airport-Residential-Area-100622?y=866419323, Airport Residential Area,
